,channel_1,channel_2,commenter_1,commenter_2,overlap,ratio_1,ratio_2
0,BEEN trdl,Destiny (데스티니),0,202,0,,0.0
1,BEEN trdl,Elite500,0,60,0,,0.0
2,BEEN trdl,Gyulsical 귤지컬,0,177,0,,0.0
3,BEEN trdl,IVERNMAN,0,7,0,,0.0
4,BEEN trdl,LUMI,0,46,0,,0.0
5,BEEN trdl,MadLife TV,0,46,0,,0.0
6,BEEN trdl,MakNooN 막눈,0,186,0,,0.0
7,BEEN trdl,MolBam몰밤,0,129,0,,0.0
8,BEEN trdl,Official Dopa,0,0,0,,
9,BEEN trdl,Rich,0,1289,0,,0.0
10,BEEN trdl,Rootube 노루,0,247,0,,0.0
11,BEEN trdl,Shen남진,0,130,0,,0.0
12,BEEN trdl,Smiler TY 티와이,0,452,0,,0.0
13,BEEN trdl,TV라간,0,172,0,,0.0
14,BEEN trdl,TV스크래치,0,177,0,,0.0
15,BEEN trdl,TV테디,0,148,0,,0.0
16,BEEN trdl,TV헤이스트,0,179,0,,0.0
17,BEEN trdl,U Han,0,486,0,,0.0
18,BEEN trdl,Wolf,0,0,0,,
19,BEEN trdl,Youtube천루,0,428,0,,0.0
20,BEEN trdl,ZED99 / 율천고 최현우,0,185,0,,0.0
21,BEEN trdl,ZephyrusK,0,376,0,,0.0
22,BEEN trdl,[IGS Soraka Top]일관성 탑소라카,0,70,0,,0.0
23,BEEN trdl,[비굿펄] 경희대 그랜드마스터 정글러,0,42,0,,0.0
24,BEEN trdl,[초원 TV]초보원딜러_Official Chowon,0,7,0,,0.0
25,BEEN trdl,feviknight,0,0,0,,
26,BEEN trdl,ㅇyㅇ,0,249,0,,0.0
27,BEEN trdl,감자명TV,0,524,0,,0.0
28,BEEN trdl,갓키형,0,42,0,,0.0
29,BEEN trdl,강몽키TV,0,174,0,,0.0
30,BEEN trdl,강블린,0,22,0,,0.0
31,BEEN trdl,개구몽,0,95,0,,0.0
32,BEEN trdl,개리형,0,78,0,,0.0
33,BEEN trdl,개빡마,0,1299,0,,0.0
34,BEEN trdl,개인팟,0,116,0,,0.0
35,BEEN trdl,개죽이,0,270,0,,0.0
36,BEEN trdl,갱맘TV,0,192,0,,0.0
37,BEEN trdl,갱승제로,0,0,0,,
38,BEEN trdl,거남TV,0,137,0,,0.0
39,BEEN trdl,견 인TV,0,16,0,,0.0
40,BEEN trdl,견백Gyeon100,0,19,0,,0.0
41,BEEN trdl,견제견제,0,392,0,,0.0
42,BEEN trdl,고뇌 [Gotube],0,92,0,,0.0
43,BEEN trdl,곰 하는 남자,0,804,0,,0.0
44,BEEN trdl,공사현장TV,0,49,0,,0.0
45,BEEN trdl,괴물쥐 유튜브,0,147,0,,0.0
46,BEEN trdl,교율유튜브,0,1205,0,,0.0
47,BEEN trdl,군밤갓,0,172,0,,0.0
48,BEEN trdl,궁튜브GoongTube,0,56,0,,0.0
49,BEEN trdl,귀배,0,107,0,,0.0
50,BEEN trdl,그네샤코,0,225,0,,0.0
51,BEEN trdl,그바,0,2,0,,0.0
52,BEEN trdl,글쟁이개랑,0,0,0,,
53,BEEN trdl,금똥왁왁,0,76,0,,0.0
54,BEEN trdl,금명상,0,427,0,,0.0
55,BEEN trdl,기논,0,1117,0,,0.0
56,BEEN trdl,김데데,0,0,0,,
57,BEEN trdl,김때수,0,645,0,,0.0
58,BEEN trdl,김똘빈,0,0,0,,
59,BEEN trdl,김리븐,0,117,0,,0.0
60,BEEN trdl,김망치 / Upgrade,0,1277,0,,0.0
61,BEEN trdl,김소중,0,143,0,,0.0
62,BEEN trdl,김재혁TV [트린다미어 장인랭킹 1등],0,0,0,,
63,BEEN trdl,까부작GGATUBE,0,83,0,,0.0
64,BEEN trdl,깻잎한장Challenger,0,74,0,,0.0
65,BEEN trdl,꼬르Youtube,0,126,0,,0.0
66,BEEN trdl,꼬수TV,0,2,0,,0.0
67,BEEN trdl,꾸락지,0,17,0,,0.0
68,BEEN trdl,꾸르,0,71,0,,0.0
69,BEEN trdl,꾹시,0,139,0,,0.0
70,BEEN trdl,꿀꺽,0,34,0,,0.0
71,BEEN trdl,꿀탱탱,0,85,0,,0.0
72,BEEN trdl,날콤,0,626,0,,0.0
73,BEEN trdl,"남구미호, 탑세주 장인랭킹1위 영상 강의",0,90,0,,0.0
74,BEEN trdl,남부정 Nam Bu Jeong,0,57,0,,0.0
75,BEEN trdl,노아TV,0,74,0,,0.0
76,BEEN trdl,농림부장관,0,15,0,,0.0
77,BEEN trdl,눈가루TV,0,0,0,,
78,BEEN trdl,눈이내리는동네,0,205,0,,0.0
79,BEEN trdl,다리킹갓성현,0,102,0,,0.0
80,BEEN trdl,단순 DanSoon [ 단검에순보 ],0,152,0,,0.0
81,BEEN trdl,담백한종훈이,0,102,0,,0.0
82,BEEN trdl,대게Youtube,0,144,0,,0.0
83,BEEN trdl,대붕이,0,106,0,,0.0
84,BEEN trdl,더문,0,0,0,,
85,BEEN trdl,덤 모,0,99,0,,0.0
86,BEEN trdl,돌카사,0,49,0,,0.0
87,BEEN trdl,딩거는 세체딩,0,25,0,,0.0
88,BEEN trdl,딩신TV,0,67,0,,0.0
89,BEEN trdl,땅우양,0,54,0,,0.0
90,BEEN trdl,떡호떡,0,471,0,,0.0
91,BEEN trdl,똘킹,0,176,0,,0.0
92,BEEN trdl,똥그랩,0,1162,0,,0.0
93,BEEN trdl,뜨샤,0,148,0,,0.0
94,BEEN trdl,띵띵태TV,0,77,0,,0.0
95,BEEN trdl,람머르기니,0,92,0,,0.0
96,BEEN trdl,럼블장인 강밍고,0,4,0,,0.0
97,BEEN trdl,레고77,0,11,0,,0.0
98,BEEN trdl,레드판다,0,142,0,,0.0
99,BEEN trdl,레오나는레모나,0,58,0,,0.0
100,BEEN trdl,레조트 TV,0,20,0,,0.0
101,BEEN trdl,렝 황,0,196,0,,0.0
102,BEEN trdl,롤노인TV,0,197,0,,0.0
103,BEEN trdl,롤에낀선바,0,8,0,,0.0
104,BEEN trdl,롤장인,0,713,0,,0.0
105,BEEN trdl,롤채널개태구,0,1,0,,0.0
106,BEEN trdl,루크윤,0,36,0,,0.0
