knitting måster,Dec 15 2020 6:18 PM,Miss Fortune,"
											Victory									",0.40:1,"
					Bot
				","
															Level 5
													",knitting måster,Sczxkyio,JungÍe,Kri0s,Taunting1,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				11
	","
					","
				0
	",44,42496,9,24209,20m 53s
knitting måster,Dec 23 2020 4:00 AM,Ziggs,"
											Victory									",1.00:1,"
					Bot
				","
															Level 5
													",knitting måster,Slug1337,JungÍe,zNamastez,elsandwich,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				11
	","
					","
				0
	",47,43483,13,26379,19m 37s
knitting måster,Dec 23 2020 3:37 AM,Miss Fortune,"
											Victory									",1.25:1,"
					Bot
				","
															Level 5
													",knitting måster,JungÍe,zNamastez,Tactical One,Holy Heretic,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				10
	","
					","
				0
	",60,50725,24,34513,21m 11s
knitting måster,Dec 23 2020 3:08 AM,Miss Fortune,"
											Victory									",4.67:1,"
					Bot
				","
															Level 5
													",cpvrks,nfpikxd,knitting måster,JungÍe,Frisbeehat,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				9
	","
					","
				0
	",35,34145,11,22700,18m 3s
knitting måster,Dec 21 2020 10:31 PM,Kayn,"
											Victory									",1.13:1,"
					Bot
				","
															Level 5
													",Mrmoliners94,knitting måster,VoidSpindle,Intphidel,JungÍe,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				11
	","
					","
				1
	",46,48005,25,34441,22m 12s
knitting måster,Dec 21 2020 10:04 PM,Ziggs,"
											Victory									",1.43:1,"
					Bot
				","
															Level 5
													",knitting måster,isoupyy,JungÍe,Icee Lemon,Fudgemonkey2468,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				10
	","
					","
				0
	",48,48283,24,39828,26m 10s
knitting måster,Dec 19 2020 3:28 PM,Ziggs,"
											Victory									",0.75:1,"
					Bot
				","
															Level 5
													",knitting måster,GryVarg,çødê,tussinbobby,JungÍe,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				9
	","
					","
				0
	",29,33530,14,22584,15m 8s
knitting måster,Dec 19 2020 3:06 PM,Miss Fortune,"
											Victory									",1.57:1,"
					Bot
				","
															Level 5
													",knitting måster,FyoZirus,JungÍe,LukySkillFaker,MrOmega,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				9
	","
					","
				1
	",48,42706,19,30411,20m 23s
knitting måster,Dec 18 2020 3:30 PM,Miss Fortune,"
											Victory									",1.60:1,"
					Bot
				","
															Level 5
													",knitting måster,Trygantham,TrickAttack15,bcobb7,JungÍe,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				11
	","
					","
				0
	",30,38289,7,22088,20m 14s
knitting måster,Dec 16 2020 6:56 PM,Miss Fortune,"
											Victory									",0.73:1,"
					Normal
				","
															Level 5
													",Murtagh201,bowel tie,dreambig0000,knitting måster,JungÍe,BlaackChris,Only1King1,imoutoparadise9,Sëlene,quelquefois7,"
					","
				1
	","
					","
				0
	","
					","
				0
	","
					","
				4
	","
					","
				8
	","
					","
				5
	",31,53826,32,49780,30m 27s
knitting måster,Dec 16 2020 6:20 PM,Miss Fortune,"
											Victory									",2.60:1,"
					Bot
				","
															Level 5
													",knitting måster,DONBURl,FRICKINLUZER,JungÍe,TheBeastNo1,"
					","
				1
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				10
	","
					","
				3
	",39,54526,21,41817,28m 58s
knitting måster,Dec 16 2020 5:43 PM,Miss Fortune,"
											Victory									",1.00:1,"
					Bot
				","
															Level 5
													",knitting måster,flowerjam8,xxpvpbeastxx,JungÍe,Eklar,"
					","
				0
	","
					","
				0
	","
					","
				2
	","
					","
				0
	","
					","
				10
	","
					","
				0
	",37,43585,15,29804,23m 46s
knitting måster,Dec 15 2020 10:13 PM,Miss Fortune,"
											Victory									",9.00:1,"
					Bot
				","
															Level 5
													",knitting måster,BAC 38,Gibbaey,JungÍe,Mkay626,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				11
	","
					","
				1
	",24,33739,2,18820,16m 52s
knitting måster,Dec 15 2020 9:53 PM,Sivir,"
											Defeat									",0.86:1,"
					ARAM
				","
															Level 5
													",knitting måster,GettiOmega,zartiom828,DrDavidMiscavige,JungÍe,étoile éthéré,MotionHeat,thumbsuptoesdown,PhD in RolePlay,oRzykerzo,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				3
	",15,34011,32,40770,10m 13s
knitting måster,Dec 15 2020 7:33 PM,Miss Fortune,"
											Victory									",6.00:1,"
					Bot
				","
															Level 5
													",knitting måster,TheProdigalFun,vPash,dredamexican,JungÍe,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				11
	","
					","
				0
	",46,44290,3,19446,20m 39s
knitting måster,Dec 15 2020 7:05 PM,Miss Fortune,"
											Victory									",1.25:1,"
					Bot
				","
															Level 5
													",knitting måster,CongaLane,JungÍe,Corgieater,USful,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				9
	","
					","
				0
	",49,42064,8,20777,16m 56s
knitting måster,Dec 15 2020 6:45 PM,Miss Fortune,"
											Victory									",1.63:1,"
					Bot
				","
															Level 5
													",knitting måster,MonsterMunch43,New Pl4y3rr,JungÍe,ako,"
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				0
	","
					","
				11
	","
					","
				0
	",49,46096,16,31003,22m 41s
knitting måster,Dec 15 2020 6:18 PM,Miss Fortune,"
											Victory									",0.40:1,"
					Bot
				","
															Level 5
													",knitting måster,Sczxkyio,JungÍe,Kri0s,Taunting1,"
					","
				0
	","
					","
				0
	","
					","
				1
	","
					","
				0
	","
					","
				11
	","
					","
				0
	",44,42496,9,24209,20m 53s
